_id,overall_stats.battles
1030759114,309
1030759481,475
1030759656,740
1030759814,1434
1030759934,1807
1030760276,2606
1030760295,216
1030760337,1814
1030761065,742
1030761219,239
1030761554,446
1030761721,1026
1030762645,2694
1030762786,681
1030762803,3002
1030762906,211
1030763065,746
1030763250,1594
1030763420,1238
1030763612,120
1030763757,642
1030765602,619
1030766036,2361
1030766387,1668
1030766949,2587
1030767042,920
1030767506,221
1030768377,731
1030769015,205
1030769282,7713
1030769906,3536
1030770011,629
1030770712,104
1030770829,2454
1030770912,2000
1030770928,2860
1030771106,113
1030771406,779
1030771519,1565
1030772396,2729
1030772401,7226
1030772760,2248
1030772882,129
1030773111,164
1030773280,1248
1030773487,1128
1030773826,2803
1030773833,285
1030774326,3279
1030774330,708
1030774373,433
1030774479,1575
1030774895,2860
1030775140,3151
1030775237,2334
1030775684,318
1030776042,1804
1030776656,607
1030777611,250
1030777643,5255
1030778277,157
1030778368,1618
1030778558,1014
1030778640,1534
1030778661,4850
1030778902,219
1030778948,842
1030779464,570
1030779500,1563
1030779635,3384
1030779883,2788
1030779908,1019
1030780263,1619
1030780420,9160
1030780727,1747
1030781028,271
1030781634,191
1030782402,839
1030782422,886
1030783573,1666
1030784544,4387
1030784645,425
1030784858,7893
1030785009,806
1030785400,3226
1030785511,740
1030785512,4110
1030785690,1194
1030785802,435
1030785823,909
1030785896,1290
1030786216,604
1030787199,1857
1030787296,359
1030787705,2600
1030787724,1448
1030787939,479
1030788195,5115
1030789225,1186
1030790056,1360
1030790330,7274
1030790824,989
1030791258,3640
1030791339,2403
1030791379,631
1030791410,2304
1030791615,1331
1030791659,2496
1030791667,1502
1030791821,2379
1030792328,342
1030792562,6750
1030792901,2482
1030793113,220
1030793432,1154
1030794072,2319
1030794079,562
1030794299,943
1030794302,2489
1030794402,1383
1030794449,285
1030794500,331
1030794742,4374
1030794917,649
1030795482,4079
1030795692,570
1030795771,681
1030795802,3653
1030795803,106
1030796002,3149
1030797271,1557
1030797751,2901
1030799115,3755
1030799931,6082
1030800546,2551
1030800638,644
1030801224,552
1030801619,2360
1030802152,2123
1030803850,399
1030805763,1995
1030808099,1687
1030808403,474
1030809937,2339
1030810220,1453
1030811108,1765
1030811294,443
1030811413,1040
1030811426,365
1030811764,1046
1030811818,444
1030813110,4749
1030813175,1978
1030813778,372
1030813826,218
1030813884,600
1030814427,190
1030814665,1035
1030814862,4152
1030815122,617
1030815180,2578
1030815528,2074
1030815793,1510
1030815919,483
1030816377,1583
